,address,amount,decimals,owner,lamports,ownerProgram,type,rentEpoch,executable
92,5hauwsm9ZRZxfiJou77s34S6czWeDYipQNusN3YHMPnx,1563029679550,6,D9rAsgsFkR3qwzEGWoEQENn6Cjz3LoySQMiNPgAmy6or,475811440,11111111111111111111111111111111,system_account,361,False
93,3xi3bmLAwZeKqGZrkVsnEsWs8PiLv5R2fy9jifDbqR2K,1559894385836,6,6XmWhkYj5KnsALbGnvK6rWhCbM9P2beFLxGwA8mxRmGK,20001000000,11111111111111111111111111111111,system_account,361,False
94,7cvejpomV91gFf74XHY45uQRdf7JxWH2d7vkieEJgXFH,1525725120806,6,w1EHQzHjqrFpZGMEZHcEr8dRcb3wBsxWFT5kSpUCcUg,23494312427080,11111111111111111111111111111111,system_account,361,False
95,91DcX22Kxq3ZCqV3mFn5gknaGLQTgXFNWgE8U3yCr5TK,1519851286091,6,FUaWKU9i8k3uj2Xz69fLqr6VLhscQuFfCT4u3jRYsJCp,11530751407,11111111111111111111111111111111,system_account,361,False
96,5PXmM7aEDuRQysA2LqZHgkTUUANgh4627PbNaQvPAtoz,1507746700191,6,FH3YTXKoDL4acibXCmWn1d5jViPa8iW8SQiZVpmf1we3,61000000,11111111111111111111111111111111,system_account,361,False
97,oYd2X4zg8N4KTHiThqywgquhj9PhQ2dbLoSdyNn82GJ,1507329201366,6,AHcFLPeD964ucZ4F4b3ikPNHDPp8kz1ZmW7nid7r1hBQ,10068682598319,11111111111111111111111111111111,system_account,361,False
98,Eqrhxd7bDUCH3MepKmdVkgwazXRzY6iHhEoBpY7yAohk,1501859908341,6,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,63947944,11111111111111111111111111111111,system_account,361,False
99,5yMFR4QedJDjzXzN7q9AZ6JHsn5p7V9TE6XD7iagG8TX,1500000000000,6,Fu7Ar8fhbyU8LtNabpv8sDKJMGVTYMi8Y1KATnbShsZ4,5250000000,11111111111111111111111111111111,system_account,0,False
100,6XjKHquSK1iYzSNXK4AnuzZfY4LDxh91FxmjSpYUKGby,1499998010000,6,DgxwqbUro47cYG4WbJU4DorPjutbe3fVBRtbJZKTNDz9,10015000,11111111111111111111111111111111,system_account,361,False
101,ytd2PVBSSjQVdrt1QNjbvy1A37oGquhP3a93MjQshLa,1482023064823,6,78MwfLucfPXmTLe1vVE2VduMJNgyhE34WYzECtuSgEMr,2885640040,11111111111111111111111111111111,system_account,361,False
